ID,Country,Data,Value,Mesh,FlagMaterial,lon,lat,x,y,z
654,Zimbabwe,Carbon,0.72,carbon_mesh,zimbabwe_flag,31.053028,-17.824858,5214.46160254,3139.73670279,-1957.15582786
32,Algeria,Fossil Fuels,80075365,fossil_fuels_mesh,algeria_flag.algeria_flag,3.082667,36.726017,5117.13794186,275.581743556,3823.34530068
1,Argentina,Fossil Fuels,8864,fossil_fuels_mesh,argentina_flag,-58.381592,-34.603722,2758.98199877,-4481.4344713,-3630.94735731
6,Australia,Fossil Fuels,459702890,fossil_fuels_mesh,australia_flag,149.082977,-35.343784,-4474.26097049,2679.5957585,-3698.61739581
37,Bangladesh,Fossil Fuels,101568,fossil_fuels_mesh,bangladesh_flag,90.393791,23.728783,-40.2281058736,5853.01439524,2572.86212033
11,Brazil,Fossil Fuels,38551698,fossil_fuels_mesh,brazil_flag,-46.62529,-23.533773,4025.74120502,-4260.86770709,-2552.92566177
45,Canada,Fossil Fuels,280114560,fossil_fuels_mesh,canada_flag,-75.692482,-75.692482,390.469980554,-1531.03539196,-6195.35948307
46,Chile,Fossil Fuels,1715726,fossil_fuels_mesh,chile_flag,-70.673676,-33.447487,1765.5488199,-5034.20020291,-3524.01489543
16,China,Fossil Fuels,40425847,fossil_fuels_mesh,china_flag,116.363625,39.913818,-2177.70692068,4393.96423959,4102.40004516
47,Colombia,Fossil Fuels,132700223,fossil_fuels_mesh,columbia_flag,-74.063644,4.624335,1749.79158714,-6127.93057227,515.472215282
56,Egypt,Fossil Fuels,11868536,fossil_fuels_mesh,egypt_flag,31.340002,30.044281,4727.08628957,2878.63576635,3201.11334341
59,France,Fossil Fuels,25773399,fossil_fuels_mesh,france_flag,2.349014,48.864716,4202.47228989,172.389675825,4815.44637122
61,Germany,Fossil Fuels,48648438,fossil_fuels_mesh,germany_flag,13.404954,52.520008,3784.45608579,901.930409246,5073.79827873
21,India,Fossil Fuels,80901850,fossil_fuels_mesh,india_flag,77.216721,28.6448,1241.5424188,5472.0606824,3064.98607046
66,Indonesia,Fossil Fuels,463265878,fossil_fuels_mesh,indonesia_flag,107.60981,-6.914744,-1920.22740224,6049.72966741,-769.748645093
67,Iran,Fossil Fuels,71907581,fossil_fuels_mesh,iran_flag,51.404343,35.715298,3238.37478379,4057.27274175,3732.35608704
70,Israel,Fossil Fuels,7590886,fossil_fuels_mesh,israel_flag,35.217018,31.771959,4440.72695438,3134.56402427,3366.52161675
73,Japan,Fossil Fuels,20296307,fossil_fuels_mesh,japan_flag,139.839478,35.652832,-3970.43138573,3350.58800988,3726.69423228
75,Kuwait,Fossil Fuels,139770161,fossil_fuels_mesh,kuwait_flag,47.990341,29.378586,3728.70974918,4139.7480416,3136.59450042
80,Malaysia,Fossil Fuels,48591484,fossil_fuels_mesh,malaysia_flag,101.68653,3.1412,-1293.13727472,6251.72489868,350.352795859
82,Mexico,Fossil Fuels,65212578,fossil_fuels_mesh,mexico_flag,-99.133209,19.432608,-957.055884141,-5953.003256,2127.16044773
84,Mongolia,Fossil Fuels,17391373,fossil_fuels_mesh,mongolia_flag,106.918556,47.92123,-1246.90762762,4099.28275796,4745.53659138
93,Nigeria,Fossil Fuels,131478710,fossil_fuels_mesh,nigeria_flag,7.491302,9.072264,6259.7973145,823.151207405,1008.15424059
94,North Korea,Fossil Fuels,22559136,fossil_fuels_mesh,north_korea_flag,125.75432,39.03385,-2901.94290341,4030.41205762,4026.60171022
96,Pakistan,Fossil Fuels,968129,fossil_fuels_mesh,pakistan_flag,73.084488,33.738045,1547.00689028,5086.84753989,3551.02338616
97,Peru,Fossil Fuels,9086668,fossil_fuels_mesh,peru_flag,-77.042793,-12.046374,1402.03997467,-6093.66301444,-1334.38010986
98,Philippines,Fossil Fuels,5255136,fossil_fuels_mesh,phillipines_flag,120.984222,14.599512,-3185.19677464,5304.36579551,1611.59558076
99,Poland,Fossil Fuels,23672214,fossil_fuels_mesh,poland_flag,21.017532,52.237049,3654.96526299,1404.29304758,5054.52324799
104,Russian Federation,Fossil Fuels,683723486,fossil_fuels_mesh,russia_flag,37.618423,55.751244,2850.1693006,2196.38616502,5285.02015831
105,Saudi Arabia,Fossil Fuels,431787539,fossil_fuels_mesh,saudi_arabia_flag,46.738586,24.774265,3978.48955626,4227.57112504,2679.23095964
108,Singapore,Fossil Fuels,95662454,fossil_fuels_mesh,singapore_flag,103.851959,1.29027,-1530.34621648,6206.15246745,143.969823608
111,South Korea,Fossil Fuels,65002857,fossil_fuels_mesh,south_korea_flag,127.024612,37.5326,-3053.0760934,4047.94982143,3895.10512216
118,Thailand,Fossil Fuels,14035237,fossil_fuels_mesh,thailand_flag,100.523186,13.736717,-1134.29823377,6106.33392082,1518.24532471
121,Turkey,Fossil Fuels,9200013,fossil_fuels_mesh,turkey_flag,28.97953,41.015137,4220.2243546,2337.33792364,4195.89956138
123,Ukraine,Fossil Fuels,1636907,fossil_fuels_mesh,ukraine_flag,30.5238,50.45466,3506.64161736,2067.53227616,4930.29311057
125,United Kingdom,Fossil Fuels,59299506,fossil_fuels_mesh,united_kingdom_flag,-0.118092,51.509865,3979.28308097,-8.20168897287,5004.42346285
26,United States,Fossil Fuels,360855012,fossil_fuels_mesh,united_states_flag,-77.009003,38.889931,1118.71492482,-4849.1628984,4014.11402472
127,Venezuela,Fossil Fuels,104990361,fossil_fuels_mesh,venezuela_flag,-66.916664,10.5,2464.7874866,-5783.27368942,1165.15380134
131,Zimbabwe,Fossil Fuels,201761,fossil_fuels_mesh,zimbabwe_flag,31.053028,-17.824858,5214.46160254,3139.73670279,-1957.15582786
2,Argentina,Metal ores,2844083,metal_ores_mesh,argentina_flag,-58.381592,-34.603722,2758.98199877,-4481.4344713,-3630.94735731
7,Australia,Metal ores,932266294,metal_ores_mesh,australia_flag,149.082977,-35.343784,-4474.26097049,2679.5957585,-3698.61739581
138,Bangladesh,Metal ores,88151,metal_ores_mesh,bangladesh_flag,90.393791,23.728783,-40.2281058736,5853.01439524,2572.86212033
12,Brazil,Metal ores,426753083,metal_ores_mesh,brazil_flag,-46.62529,-23.533773,4025.74120502,-4260.86770709,-2552.92566177
150,Canada,Metal ores,69094002,metal_ores_mesh,canada_flag,-75.692482,-75.692482,390.469980554,-1531.03539196,-6195.35948307
152,Chile,Metal ores,22672770,metal_ores_mesh,chile_flag,-70.673676,-33.447487,1765.5488199,-5034.20020291,-3524.01489543
17,China,Metal ores,149143464,metal_ores_mesh,china_flag,116.363625,39.913818,-2177.70692068,4393.96423959,4102.40004516
153,Colombia,Metal ores,558287,metal_ores_mesh,columbia_flag,-74.063644,4.624335,1749.79158714,-6127.93057227,515.472215282
161,Egypt,Metal ores,1988615,metal_ores_mesh,egypt_flag,31.340002,30.044281,4727.08628957,2878.63576635,3201.11334341
164,Ethiopia,Metal ores,8197,metal_ores_mesh,ethiopia_flag,38.763611,9.005401,4923.92139168,3953.78825779,1000.7856128
167,France,Metal ores,28251158,metal_ores_mesh,france_flag,2.349014,48.864716,4202.47228989,172.389675825,4815.44637122
169,Germany,Metal ores,64218037,metal_ores_mesh,germany_flag,13.404954,52.520008,3784.45608579,901.930409246,5073.79827873
22,India,Metal ores,35694608,metal_ores_mesh,india_flag,77.216721,28.6448,1241.5424188,5472.0606824,3064.98607046
176,Indonesia,Metal ores,33993779,metal_ores_mesh,indonesia_flag,107.60981,-6.914744,-1920.22740224,6049.72966741,-769.748645093
177,Iran,Metal ores,22025942,metal_ores_mesh,iran_flag,51.404343,35.715298,3238.37478379,4057.27274175,3732.35608704
179,Israel,Metal ores,604710,metal_ores_mesh,israel_flag,35.217018,31.771959,4440.72695438,3134.56402427,3366.52161675
182,Japan,Metal ores,66231946,metal_ores_mesh,japan_flag,139.839478,35.652832,-3970.43138573,3350.58800988,3726.69423228
183,Jordan,Metal ores,353326,metal_ores_mesh,jordan_flag,35.930359,31.963158,4392.23679263,3182.9973469,3384.64165737
185,Kenya,Metal ores,287470,metal_ores_mesh,kenya_flag,36.87426,-1.291514,5113.34452701,3835.61673778,-144.108607072
186,Kuwait,Metal ores,1013160,metal_ores_mesh,kuwait_flag,47.990341,29.378586,3728.70974918,4139.7480416,3136.59450042
193,Malaysia,Metal ores,23698804,metal_ores_mesh,malaysia_flag,101.68653,3.1412,-1293.13727472,6251.72489868,350.352795859
197,Mexico,Metal ores,20341897,metal_ores_mesh,mexico_flag,-99.133209,19.432608,-957.055884141,-5953.003256,2127.16044773
199,Mongolia,Metal ores,9060765,metal_ores_mesh,mongolia_flag,106.918556,47.92123,-1246.90762762,4099.28275796,4745.53659138
209,Nigeria,Metal ores,219565,metal_ores_mesh,nigeria_flag,7.491302,9.072264,6259.7973145,823.151207405,1008.15424059
211,Pakistan,Metal ores,6055254,metal_ores_mesh,pakistan_flag,73.084488,33.738045,1547.00689028,5086.84753989,3551.02338616
